name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,skew,kurtosis
450-Finistère_,0.1915255506669289,0.0,21.203000367528322,0.0,26.896580172918156,0.0,0.16558692494142688,0.3161815584699365,0.5512307437066771,0.1915255506669289,-0.39951574884016183,0.3005266476796944
100-Gard_,0.19196327981711647,0.0,19.069792159492568,0.0,25.29623681058756,0.0,0.1827177337145222,0.35850661843043174,0.6423978109742544,0.19196327981711647,-0.5938588242036992,1.2888141610103894
450-Oise_,0.19214504736127713,0.0,22.583787848656307,0.0,28.688156433164473,0.0,0.16511041696326134,0.30897488506084025,0.5260319401060203,0.19214504736127713,-0.35887153873511957,0.17057963642093243
100-Dordogne_,0.19217901316960917,0.0,21.162660926417036,0.0,27.6591740976148,0.0,0.16731088778112477,0.32270590639689356,0.5818960538124562,0.19217901316960917,-0.5486734278887909,0.7006281004825725
300-Manche_,0.19235500370646308,0.0,21.866051550003082,0.0,27.69672261817237,0.0,0.16006290478671928,0.3013288170922356,0.5349977666939627,0.19235500370646308,-0.5136903098045665,0.7920720152033165
50-Landes_,0.19310284164108427,0.0,20.439955654943695,0.0,26.570794053984038,0.0,0.16760202441421498,0.3271119030779547,0.5899183437278982,0.19310284164108427,-0.7759205515201598,1.0040882707918586
350-Haut-Rhin_,0.19346220102809952,0.0,21.916402137721445,0.0,27.130282970851198,0.0,0.14565706329656206,0.28348811946327207,0.5170060741443412,0.19346220102809952,-0.26045170766979686,-0.12874200448730821
100-Vaucluse_,0.1943793225494005,0.0,19.5233779852644,0.0,26.02135132403914,0.0,0.1779726759470758,0.34932982803947765,0.6384842477265871,0.1943793225494005,-0.5588140252316983,1.1331769651564043
150-Rhône_,0.19482284274447237,0.0,18.946745304032518,0.0,25.177704124655698,0.0,0.18565926887376502,0.36232676099635375,0.6451535774975024,0.19482284274447237,-0.7957213411906413,1.194577065777204
100-Ain_,0.19552137026377636,0.0,19.262176434858283,0.0,25.992056702155203,0.0,0.1921857880732509,0.3748043512286743,0.650806072937862,0.19552137026377636,-0.7748599867519571,1.460925551328775
100-Rhône_,0.19564396416903218,0.0,18.803690502629273,0.0,25.16486271105101,0.0,0.19099626836995226,0.372343241650798,0.6546662453995065,0.19564396416903218,-0.5397890129418625,1.058689261552912
50-Côte-d'Or_,0.19570966819240987,0.0,20.919474989547307,0.0,27.40229722954214,0.0,0.17943810966695903,0.3404433458256917,0.5872870318688036,0.19570966819240987,-0.4952813768262266,0.8542686942334896
50-Vaucluse_,0.1966721342071286,0.0,19.327310126870632,0.0,25.98429631186869,0.0,0.18820842132482868,0.3631103736585786,0.6410808947118907,0.1966721342071286,-0.7046037654619792,1.2381143121261777
250-Rhône_,0.19676698067919685,0.0,18.975108138450572,0.0,25.147289381544304,0.0,0.18353300827448402,0.3589281597171817,0.6427626017232104,0.19676698067919685,-0.5219776337545718,1.0725796480461227
350-Vendée_,0.19712865184986406,0.0,21.366018022467482,0.0,27.089425820329236,0.0,0.16529197779054183,0.3101397664177675,0.5432816389048439,0.19712865184986406,-0.789443699693295,1.073834508004289
150-Côte-d'Or_,0.19748024922719287,0.0,20.639641559019747,0.0,27.372118625239402,0.0,0.18052786859102146,0.34941392233474206,0.6051351566860697,0.19748024922719287,-0.2775165138740523,0.9273878764563483
150-Isère_,0.19946995090023456,0.0,19.2399025266441,0.0,25.287149367047355,0.0,0.18037023833774699,0.3489572723568955,0.6295133937665512,0.19946995090023456,-0.801686356643376,1.2045998130807023
350-Moselle_,0.19953425658084012,0.0,20.759759262867835,0.0,26.6247788913417,0.0,0.16076606841321525,0.3168439577351393,0.5827948102284953,0.19953425658084012,-0.1379233580212832,0.22559176062300113
450-Loiret_,0.20212406597711075,0.0,19.239842866865697,0.0,26.214378907153097,0.0,0.21675389441716703,0.40112689518024924,0.6379444568627299,0.20212406597711075,-0.8886586347048193,0.892731056930788
350-Côte-d'Or_,0.2034289878423915,0.0,20.523405075428116,0.0,27.270480971391706,0.0,0.17602264572203175,0.34757993780400287,0.6170294766499216,0.2034289878423915,-0.5469058003659386,0.7414896674940028
250-Eure-et-Loir_,0.20451877628918003,0.0,19.661348460059205,0.0,26.171604575465956,0.0,0.20015955200300334,0.3729293434904347,0.6154014609957922,0.20451877628918003,-0.06767997837476011,0.8958267907165798
150-Haut-Rhin_,0.20484669202851147,0.0,21.692742357653977,0.0,26.938126974492654,0.0,0.15547973500206552,0.29183433039061185,0.5188879878823116,0.20484669202851147,-0.36808546126269925,-0.020112913272082533
100-Côte-d'Or_,0.20495216257625448,0.0,20.52928415792295,0.0,27.244395674098374,0.0,0.1897110809876937,0.3583047603859342,0.6059989899795338,0.20495216257625448,-0.4375362988968685,0.8820185560083251
300-Eure-et-Loir_,0.20518653997294778,0.0,19.600347668485863,0.0,26.160617442310055,0.0,0.21198517104913264,0.3857717154968794,0.6142752115628276,0.20518653997294778,-0.24033975106259806,0.8183007704715601
350-Loire-Atlantique_,0.20522876707880577,0.0,22.039408026901913,0.0,28.02413245258067,0.0,0.16163158354441437,0.30620665560310945,0.5363088479343174,0.20522876707880577,-0.7679626434010742,0.8315514730516167
200-Côte-d'Or_,0.2054711781330275,0.0,20.602880348680287,0.0,27.235501508863337,0.0,0.1769130585014486,0.34845706084044337,0.6082316667995642,0.2054711781330275,-0.23421154767975025,0.644449734024005
200-Côtes-d'Armor_,0.20573846566922072,0.0,23.816475710500388,0.0,29.619195625571034,0.0,0.14266438787442656,0.2716740127732302,0.47988965848100507,0.20573846566922072,-0.2907237866185687,0.014693435033617863
400-Côte-d'Or_,0.2077684491810743,0.0,20.344330355548383,0.0,27.196099149197735,0.0,0.18194987108949312,0.35373308880206256,0.6256146506126572,0.2077684491810743,-0.5038784530017022,0.7117505813276104
300-Ille-et-Vilaine_,0.20845290531343075,0.0,21.80254463070179,0.0,27.58192576190945,0.0,0.1614058114842441,0.3017148467095645,0.5331604614186168,0.20845290531343075,-0.6231678767901146,0.9493546273235571
300-Côte-d'Or_,0.21267772027496212,0.0,20.57184364483712,0.0,27.111704313008314,0.0,0.1866145708741993,0.35817186295617043,0.601347579937804,0.21267772027496212,-0.3764210901680417,0.57940327607372
100-Isère_,0.21312528120391894,0.0,18.743378158790026,0.0,25.070549371428324,0.0,0.18856946424933796,0.37037838663678957,0.6525959971480954,0.21312528120391894,-0.7255848262264215,1.3783725014980384
350-Oise_,0.2170113078437398,0.0,21.954151818327627,0.0,28.243186218252106,0.0,0.1744897873730226,0.3269129309695087,0.5502005677868873,0.2170113078437398,-0.3631423407558002,0.15523586367015207
200-Loire-Atlantique_,0.2173527014461185,0.0,21.685520709795206,0.0,27.809562243770316,0.0,0.15934317407633855,0.31050397414621367,0.5598043497248668,0.2173527014461185,-0.5554075423349669,0.8508855256363548
450-Morbihan_,0.21751522087891972,0.0,21.02259998183929,0.0,27.03365021077917,0.0,0.16857564568858888,0.3222396439229174,0.5704820191189115,0.21751522087891972,-0.6151412135977411,0.5450128282033839
300-Vendée_,0.21755589033160372,0.0,20.949452950179793,0.0,26.74259103484627,0.0,0.16251196630289105,0.3118093049971281,0.5641508711468505,0.21755589033160372,-0.8103247180884036,1.2488218967673967
100-Bas-Rhin_,0.21837706493268327,0.0,21.088157862225707,0.0,26.622778629702434,0.0,0.16442433242018484,0.31257840702526946,0.5560242197700914,0.21837706493268327,-0.3026515724743471,0.14837378773435272
50-Bas-Rhin_,0.2185808908584349,0.0,21.084754711990943,0.0,26.619307156394775,0.0,0.15977751606543947,0.31183594050026886,0.5589300801351802,0.2185808908584349,-0.2879860413761386,0.15579694570442726
450-Gironde_,0.2186083142005858,0.0,21.469895793042927,0.0,27.92091817276577,0.0,0.16859847987305057,0.319897616858428,0.5654112543354859,0.2186083142005858,-0.5520983125572351,1.1475432336653073
350-Calvados_,0.21892053868468397,0.0,22.232916321654752,0.0,28.335188262777642,0.0,0.15103213812207894,0.29138366503470087,0.5350082585863374,0.21892053868468397,-0.5135942853025678,0.9268857263012955
400-Indre-et-Loire_,0.21918618268794154,0.0,19.682854116714225,0.0,26.90169303167568,0.0,0.20519876968617748,0.3808306930922042,0.6347448023866238,0.21918618268794154,-1.0345680010747054,1.165984743675307
