NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL310;GM0351;Woudenberg;;no;13166;36528314;2;no;no;no;;;;;;;;;
NL310;GM0352;Wijk bij Duurstede;;no;23762;47623951;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0353;IJsselstein;;no;34160;21071354;1;no;no;no;NL004C2;no;Greater Utrecht;;;;NL004L3;no;Utrecht
NL310;GM0355;Zeist;;no;63934;48511127;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0356;Nieuwegein;;no;63036;23505043;1;no;no;no;NL004C2;no;Greater Utrecht;;;;NL004L3;no;Utrecht
NL329;GM0358;Aalsmeer;;no;31728;20116849;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL328;GM0361;Alkmaar;;no;108558;110459118;1;no;no;no;NL514C2;no;Greater Alkmaar;;;;NL514L3;no;Alkmaar
NL329;GM0362;Amstelveen;;no;90838;41134631;1;no;no;no;NL002C2;no;Greater Amsterdam;;;;NL002L3;no;Amsterdam
NL329;GM0363;Amsterdam;;no;862965;165504044;1;no;no;no;NL002C2;no;Greater Amsterdam;;;;NL002L3;no;Amsterdam
NL329;GM0370;Beemster;;no;9748;70577997;3;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL328;GM0373;Bergen (NH.);;no;29974;98962781;2;no;yes;no;;;;;;;NL514L3;no;Alkmaar
NL323;GM0375;Beverwijk;;no;41176;18402604;1;no;yes;no;NL528C1;no;Greater Heemskerk;;;;NL002L3;no;Amsterdam
NL327;GM0376;Blaricum;;no;11202;11113181;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL324;GM0377;Bloemendaal;;no;23410;39786293;1;no;yes;no;NL501C2;no;Greater Haarlem;;;;NL002L3;no;Amsterdam
